Randolf wears one skirt and that mother of Marcus wears at least as many white skirt . <eos>	[5.545644283294678, 5.360159873962402, 3.824857234954834, 3.703824281692505, 3.3856468200683594, 4.1902618408203125, 5.244014739990234, 4.79781436920166, 4.682974815368652, 4.635748863220215, 3.826127529144287, 3.628366470336914, 3.976667881011963, 3.8903801441192627, 3.6910829544067383, 5.362729072570801, 5.204218864440918, 3.2731477972447465e-07]	[2.5537118911743164, 12.572961807250977, 5.85637092590332, 7.462353706359863, 1.9780340194702148, 6.042078018188477, 9.985713958740234, 4.677675247192383, 10.605684280395508, 6.514888763427734, 6.200111389160156, 2.110757827758789, 4.416969299316406, 1.8904657363891602, 5.7169599533081055, 10.74337387084961, 3.746835708618164, -0.0]	Randolf wears one lost skirt and that mother of Marcus wears at least as many white . <eos>	[4.988274574279785, 6.399275302886963, 3.515080690383911, 3.3686318397521973, 6.31859016418457, 3.1178083419799805, 4.8673553466796875, 4.990665435791016, 4.548535346984863, 4.960442543029785, 4.512235641479492, 3.6100552082061768, 3.612131118774414, 3.931741237640381, 3.7935197353363037, 3.731729030609131, 5.253116607666016, 3.2694947549316566e-07]	[2.94036865234375, 10.342098236083984, 5.645769119262695, 13.26891803741455, 6.425250053405762, 1.562154769897461, 6.031633377075195, 10.288707733154297, 5.12602424621582, 10.442404747009277, 6.171710014343262, 6.3231611251831055, 1.8826847076416016, 4.194738388061523, 1.915151596069336, 6.064199447631836, 5.1593475341796875, -0.0]
Mitchell could n't drop by one lake and that driver could n't drop by some new lake . <eos>	[4.989492893218994, 5.014013767242432, 3.0479660034179688, 5.261563301086426, 3.9422268867492676, 5.686825275421143, 3.967038631439209, 3.7591500282287598, 5.947226524353027, 5.132920265197754, 4.043813705444336, 4.3232526779174805, 5.327068328857422, 3.7461636066436768, 5.277139663696289, 5.311720848083496, 6.518158912658691, 3.7393698692321777, 2.7874884267475863e-07]	[9.666650772094727, 7.53718900680542, 3.4232101440429688, 9.539546012878418, 6.530622482299805, 4.487968444824219, 13.251871109008789, 2.6004981994628906, 4.468142509460449, 10.83413314819336, 2.2366724014282227, 2.3689193725585938, 7.877621650695801, 6.722900390625, 5.676033973693848, 8.100732803344727, 9.912559509277344, 1.027613639831543, -0.0]	Mitchell could n't drop by one big lake and that driver could n't drop by some new . <eos>	[4.98830509185791, 5.014531135559082, 3.049060821533203, 5.26193904876709, 3.9423532485961914, 5.6866302490234375, 3.9628663063049316, 5.872068405151367, 3.9275479316711426, 5.844425201416016, 4.979740142822266, 4.268650054931641, 4.230853080749512, 5.1652750968933105, 3.719311237335205, 5.246360778808594, 5.407232284545898, 6.374150276184082, 2.890726875648397e-07]	[9.664155006408691, 7.53532600402832, 3.4288482666015625, 9.541692733764648, 6.530339241027832, 4.4895830154418945, 7.123966217041016, 9.919560432434082, 2.9181957244873047, 4.495245933532715, 10.892183303833008, 2.2462520599365234, 1.783583641052246, 7.841177940368652, 6.951240539550781, 5.628339767456055, 8.070002555847168, 6.126768112182617, -0.0]
Matt 's boss was n't confusing few doctors and all turtles are confusing many out in the open doctors . <eos>	[4.988852500915527, 5.723576545715332, 5.963771820068359, 4.851327896118164, 6.0629963874816895, 5.648262977600098, 3.709406614303589, 4.89436149597168, 3.4966955184936523, 6.157854080200195, 5.014293193817139, 4.60150146484375, 6.588680267333984, 3.5135574340820312, 5.150335788726807, 0.9512801170349121, 4.461793899536133, 6.85793399810791, 5.620172500610352, 4.211131572723389, 2.746380118878733e-07]	[10.00759220123291, 4.298012733459473, 6.020816802978516, 4.278201103210449, 6.611351013183594, 13.417854309082031, 13.892069816589355, 11.209120750427246, 2.519343376159668, 6.8158040046691895, 13.448344230651855, 3.4856643676757812, 11.107717514038086, 7.579462051391602, 7.260219573974609, 6.280178070068359, 1.6351442337036133, 7.169687747955322, 12.721016883850098, 1.5515766143798828, -0.0]	Matt 's boss was n't confusing few bad doctors and all turtles are confusing many out in the open . <eos>	[4.9920125007629395, 5.724043846130371, 5.964357376098633, 4.856137275695801, 6.062727451324463, 5.648228645324707, 3.7109451293945312, 4.893487453460693, 5.572989463806152, 3.5198311805725098, 6.256824493408203, 4.88149881362915, 4.676276206970215, 6.61838960647583, 3.478910446166992, 5.200159072875977, 1.1655327081680298, 4.471194267272949, 6.92238712310791, 5.671616077423096, 2.970511729927239e-07]	[10.000815391540527, 4.302495956420898, 6.022469520568848, 4.275249481201172, 6.610735893249512, 13.414007186889648, 13.893539428710938, 9.331585884094238, 10.383543014526367, 2.447742462158203, 6.266671180725098, 13.162877082824707, 3.4769210815429688, 11.011099815368652, 7.517005920410156, 7.224653244018555, 6.054211616516113, 1.5079116821289062, 7.066259384155273, 2.348433494567871, -0.0]
Bill 's podiatrists ca n't upset one dancer and most stories ca n't upset more unlucky dancer . <eos>	[4.991060733795166, 6.07149076461792, 7.282525539398193, 6.9319634437561035, 0.13221251964569092, 4.933712005615234, 4.461276054382324, 3.378462314605713, 3.3138904571533203, 6.084281921386719, 3.678429126739502, 4.975362777709961, 0.08526864647865295, 4.4308695793151855, 4.3240814208984375, 3.495330333709717, 4.4263176918029785, 5.686814308166504, 2.7871044494531816e-07]	[8.783641815185547, 3.6867799758911133, 3.2461671829223633, 11.20565414428711, 0.02268218994140625, 8.636802673339844, 5.928586006164551, 9.761649131774902, 2.3622512817382812, 8.341979026794434, 9.498228073120117, 6.649382591247559, 0.015169143676757812, 9.055354118347168, 7.455417633056641, 15.988983154296875, 10.229567527770996, 2.308450698852539, -0.0]	Bill 's podiatrists ca n't upset one employed dancer and most stories ca n't upset more unlucky . <eos>	[4.989933013916016, 6.072812557220459, 7.283352375030518, 6.933018684387207, 0.13219909369945526, 4.933941841125488, 4.46129035949707, 3.378516912460327, 4.745343208312988, 3.0022823810577393, 6.318999290466309, 4.018582344055176, 4.966104507446289, 0.0886189192533493, 4.382449150085449, 4.348050594329834, 3.694108724594116, 4.325128555297852, 2.8993579803682223e-07]	[8.776021003723145, 3.6890392303466797, 3.2467613220214844, 11.203441619873047, 0.022676467895507812, 8.635818481445312, 5.928987503051758, 15.591992378234863, 10.982175827026367, 2.550614356994629, 8.47092342376709, 9.321664810180664, 7.463089942932129, 0.015760421752929688, 9.633611679077148, 7.323177337646484, 15.690278053283691, 4.423393249511719, -0.0]
Rose 's friend had n't fled from one ex-husband and the Borgias had n't fled from at least as many unlucky ex-husband . <eos>	[4.9917402267456055, 5.633445739746094, 7.07065486907959, 4.997464656829834, 5.300062656402588, 4.865736484527588, 3.7015669345855713, 4.151630878448486, 4.866194725036621, 2.6380510330200195, 5.2131757736206055, 2.6816697120666504, 5.038944244384766, 5.1785173416137695, 5.061717510223389, 3.303229331970215, 3.746649980545044, 2.0464096069335938, 3.674077033996582, 2.956796169281006, 4.8689680099487305, 4.994330406188965, 3.9301185607910156, 3.0448074994637864e-07]	[9.70348834991455, 2.4869136810302734, 5.814558982849121, 6.557721138000488, 6.859827041625977, 8.207515716552734, 2.8570823669433594, 6.169646263122559, 13.771577835083008, 2.642719268798828, 3.190420150756836, 5.718433380126953, 2.5602731704711914, 5.6779375076293945, 6.735444068908691, 3.3570919036865234, 8.04818344116211, 0.5204753875732422, 7.057796478271484, 2.413637161254883, 12.919658660888672, 14.45606517791748, 2.2250185012817383, -0.0]	Rose 's friend had n't fled from one clever ex-husband and the Borgias had n't fled from at least as many unlucky . <eos>	[4.988314628601074, 5.633337020874023, 7.070471286773682, 4.9997663497924805, 5.300370216369629, 4.865592956542969, 3.701519012451172, 4.151978492736816, 4.866252422332764, 6.462665557861328, 2.4375998973846436, 5.217055320739746, 2.9568703174591064, 5.185965538024902, 5.307873249053955, 5.185481071472168, 3.3631432056427, 3.724465847015381, 2.281589984893799, 3.6931357383728027, 2.493741512298584, 5.113497734069824, 5.089628219604492, 3.156297339046432e-07]	[9.709199905395508, 2.490018844604492, 5.819024085998535, 6.554555892944336, 6.86341667175293, 8.206012725830078, 2.856443405151367, 6.170230865478516, 14.040694236755371, 11.649170875549316, 3.029841423034668, 3.9547882080078125, 5.253480911254883, 2.398782730102539, 5.425708770751953, 7.351885795593262, 3.3114681243896484, 7.866835594177246, 0.6079502105712891, 7.079034805297852, 2.3168067932128906, 11.86926555633545, 4.42949104309082, -0.0]
These customers scanned one dermatologist and Regina scanned at least as many hidden dermatologist . <eos>	[4.990490913391113, 7.004316329956055, 4.705970287322998, 4.3771162033081055, 3.711172342300415, 5.891252040863037, 5.915060997009277, 5.644981861114502, 4.419634819030762, 3.9731383323669434, 4.694524765014648, 4.004147529602051, 4.5214385986328125, 5.514680862426758, 5.1028947830200195, 2.9173887128308706e-07]	[4.8409833908081055, 9.011489868164062, 13.047447204589844, 5.9173688888549805, 4.68809700012207, 3.029637336730957, 15.146956443786621, 10.899581909179688, 4.382477760314941, 4.146812438964844, 4.295568466186523, 2.5628786087036133, 10.10228157043457, 4.155835151672363, 1.812673568725586, -0.0]	These customers scanned one serious dermatologist and Regina scanned at least as many hidden . <eos>	[4.98647403717041, 7.003331184387207, 4.706413269042969, 4.374607563018799, 3.7124195098876953, 5.8750104904174805, 5.659966468811035, 6.384020805358887, 5.551527976989746, 3.8777546882629395, 4.170832633972168, 4.567597389221191, 3.6755850315093994, 4.787242889404297, 5.2003397941589355, 2.854683316400042e-07]	[4.839184761047363, 9.01216983795166, 13.041667938232422, 5.916792869567871, 14.961892127990723, 3.828640937805176, 3.213822364807129, 16.319473266601562, 11.394765853881836, 5.8455963134765625, 2.556900978088379, 5.551131248474121, 1.6290416717529297, 9.665956497192383, 5.830605506896973, -0.0]
The actress 's handymen do hire four cousins of and that hospital would n't hire five troubled cousins of . <eos>	[4.987908363342285, 7.804244041442871, 5.255769729614258, 6.3154754638671875, 6.496388912200928, 1.3066914081573486, 5.407347202301025, 5.765398979187012, 2.972531318664551, 4.83546257019043, 5.977420330047607, 5.285082817077637, 5.654812812805176, 4.998508453369141, 4.630315780639648, 4.537871837615967, 4.989523410797119, 4.240365982055664, 2.5976085662841797, 4.2232794761657715, 2.987457889958023e-07]	[1.7154598236083984, 9.579405784606934, 2.4509801864624023, 3.8141870498657227, 7.456086158752441, 14.056005477905273, 6.311362266540527, 9.314663887023926, 4.8715105056762695, 9.437585830688477, 6.224576950073242, 12.920378684997559, 5.394317626953125, 6.716047286987305, 6.514206886291504, 7.600924968719482, 12.173724174499512, 8.848783493041992, 6.120868682861328, 10.528074264526367, -0.0]	The actress 's handymen do hire four young cousins of and that hospital would n't hire five troubled . <eos>	[4.989238739013672, 7.8041205406188965, 5.2571234703063965, 6.316786289215088, 6.496766567230225, 1.3057092428207397, 5.407138824462891, 5.766106605529785, 4.205056667327881, 3.072518825531006, 4.377198696136475, 5.986310958862305, 5.416713714599609, 5.507035255432129, 5.091561317443848, 4.630051612854004, 4.469382286071777, 4.835348129272461, 4.08023738861084, 2.862909695977578e-07]	[1.7129440307617188, 9.577924728393555, 2.4551162719726562, 3.8105392456054688, 7.453699588775635, 14.058300018310547, 6.310717582702637, 3.2789220809936523, 11.723231315612793, 5.305539131164551, 10.103678703308105, 6.163190841674805, 12.83052921295166, 5.111618995666504, 6.247047424316406, 6.545140266418457, 7.946786403656006, 11.749415397644043, 6.283174514770508, -0.0]
Doctors impresses one podiatrist and Natalie 's ex-boyfriends impresses some standing podiatrist . <eos>	[4.989804267883301, 5.755940914154053, 5.326476097106934, 3.0635595321655273, 4.643145561218262, 4.974766731262207, 5.2886176109313965, 6.7921905517578125, 6.2508978843688965, 5.661935806274414, 5.780855178833008, 4.825463771820068, 3.5904760360717773, 2.6909515327133704e-07]	[10.2178316116333, 5.317075729370117, 6.8889360427856445, 4.689266204833984, 2.2082719802856445, 11.783376693725586, 1.4999637603759766, 3.6314573287963867, 3.362689971923828, 8.309212684631348, 10.441325187683105, 4.086076736450195, 1.660837173461914, -0.0]	Doctors impresses one troubled podiatrist and Natalie 's ex-boyfriends impresses some standing . <eos>	[4.987758636474609, 5.756717681884766, 5.327261924743652, 3.0616564750671387, 6.295129776000977, 4.239214897155762, 6.055656909942627, 4.25681209564209, 6.546145439147949, 6.077159404754639, 5.272867202758789, 5.311893463134766, 5.008321762084961, 2.807525731896021e-07]	[10.227819442749023, 5.320404052734375, 6.8913254737854, 13.293182373046875, 2.798222541809082, 2.2725419998168945, 11.09007453918457, 1.1365966796875, 3.9272994995117188, 3.5501461029052734, 8.316449165344238, 11.421425819396973, 3.1550207138061523, -0.0]
These drawings of the casserole bore one son and that teacher 's bosses bore a lot sick son . <eos>	[4.98935604095459, 6.999874114990234, 4.097823143005371, 6.133527755737305, 7.643545150756836, 6.218018054962158, 4.305967330932617, 3.704261302947998, 3.301863670349121, 3.578221321105957, 5.036134719848633, 4.706552982330322, 6.6579084396362305, 4.434290885925293, 4.020817756652832, 1.7399615049362183, 0.429787278175354, 4.350707054138184, 3.3474531173706055, 2.793490523345099e-07]	[4.845253944396973, 8.619979858398438, 4.206355094909668, 1.4680547714233398, 2.3986387252807617, 8.088366508483887, 5.953730583190918, 7.257289886474609, 2.4717750549316406, 7.056500434875488, 13.005810737609863, 2.992410659790039, 12.62614631652832, 7.1965179443359375, 1.4718637466430664, 6.482583999633789, 16.721139907836914, 5.513397216796875, 1.3372611999511719, -0.0]	These drawings of the casserole bore one unconvinced son and that teacher 's bosses bore a lot sick . <eos>	[4.987469673156738, 7.003976821899414, 4.097894668579102, 6.133665084838867, 7.643712997436523, 6.217852592468262, 4.30628776550293, 3.7029058933258057, 5.8717756271362305, 2.9676451683044434, 5.027886390686035, 4.445618629455566, 6.075750350952148, 7.331367015838623, 4.544378757476807, 4.234483242034912, 3.0735394954681396, 0.5040563344955444, 4.776873588562012, 2.87084787942149e-07]	[4.844160079956055, 8.617542266845703, 4.20463752746582, 1.468088150024414, 2.398991584777832, 8.090655326843262, 5.954812049865723, 16.473737716674805, 9.1190824508667, 2.7526683807373047, 3.6002073287963867, 13.591232299804688, 4.129809379577637, 13.194733619689941, 8.007062911987305, 1.678670883178711, 5.592283248901367, 15.35032844543457, 1.9315881729125977, -0.0]
That art gallery should n't bother five ex-boyfriends and Thomas 's grandmothers should n't bother four exposed ex-boyfriends . <eos>	[4.986865043640137, 4.970390319824219, 3.8811028003692627, 3.960272789001465, 3.255411386489868, 2.8964571952819824, 4.2575249671936035, 5.477907657623291, 5.810032844543457, 6.315309524536133, 6.410584926605225, 7.159308433532715, 5.903254508972168, 3.6674346923828125, 2.7147772312164307, 3.9285101890563965, 5.717278003692627, 6.519420146942139, 4.594300270080566, 2.909970362452441e-07]	[6.271044731140137, 10.206592559814453, 5.548892974853516, 7.354410171508789, 5.3597002029418945, 7.856410026550293, 10.481972694396973, 4.392247200012207, 3.710012435913086, 10.835741996765137, 3.106616973876953, 3.7049312591552734, 6.860406875610352, 3.7498340606689453, 6.6795806884765625, 10.031852722167969, 10.930876731872559, 3.0139389038085938, 1.78057861328125, -0.0]	That art gallery should n't bother five good ex-boyfriends and Thomas 's grandmothers should n't bother four exposed . <eos>	[4.9880876541137695, 4.97348690032959, 3.8855953216552734, 3.9627387523651123, 3.2555456161499023, 2.896743059158325, 4.258935451507568, 5.478396415710449, 5.591412544250488, 5.124543190002441, 6.3071417808532715, 6.437526226043701, 7.1214213371276855, 5.993025779724121, 3.5756947994232178, 2.577153205871582, 3.821380138397217, 5.744217872619629, 6.551448822021484, 3.018314771452424e-07]	[6.271174430847168, 10.211556434631348, 5.539002418518066, 7.350338935852051, 5.3600568771362305, 7.855356216430664, 10.47857666015625, 7.5408830642700195, 4.665741920471191, 3.073352813720703, 10.834358215332031, 3.077694892883301, 3.5555381774902344, 6.750307083129883, 3.6760616302490234, 6.7412004470825195, 10.15882682800293, 11.024584770202637, 5.358438491821289, -0.0]
Judy should n't sell three paintings of and Allison should n't sell fewer gray paintings of . <eos>	[4.988433361053467, 5.241127967834473, 4.079479217529297, 3.660611152648926, 4.530333518981934, 5.253554821014404, 3.5093603134155273, 5.210756301879883, 6.9841108322143555, 4.26423454284668, 4.425810813903809, 3.494185447692871, 4.607629299163818, 5.153748989105225, 5.649269104003906, 2.746616840362549, 5.22139835357666, 2.9825730507582193e-07]	[11.423487663269043, 9.817474365234375, 4.399715423583984, 7.757760047912598, 7.650742530822754, 5.11386775970459, 3.709043502807617, 8.265571594238281, 15.033365249633789, 7.090578079223633, 3.134709358215332, 6.341634750366211, 9.96612548828125, 13.226778984069824, 4.744219779968262, 5.191181182861328, 7.382138252258301, -0.0]	Judy should n't sell three green paintings of and Allison should n't sell fewer gray . <eos>	[4.988992691040039, 5.244929313659668, 4.079816818237305, 3.6609363555908203, 4.53198766708374, 5.25184965133667, 5.630010604858398, 3.6606061458587646, 4.615877151489258, 6.697062969207764, 4.361459732055664, 4.581707954406738, 3.677267551422119, 4.66318416595459, 5.164349555969238, 5.71646785736084, 3.074370340527821e-07]	[11.419187545776367, 9.807205200195312, 4.393691062927246, 7.754387855529785, 7.6512651443481445, 10.575155258178711, 5.027667999267578, 4.600261688232422, 8.103240966796875, 14.620588302612305, 7.31296443939209, 2.9280080795288086, 6.0101165771484375, 10.152002334594727, 12.413213729858398, 4.638767242431641, -0.0]
Kimberley 's electrician is investigating a few grandsons of and Douglas is investigating a lot clever grandsons of . <eos>	[4.991617679595947, 5.503975868225098, 7.054183006286621, 3.4327683448791504, 5.931447982788086, 4.086590766906738, 6.757716178894043, 6.390414237976074, 3.2293567657470703, 5.25455379486084, 6.548352241516113, 4.4284186363220215, 5.505903244018555, 4.234265327453613, 6.765958309173584, 0.4710807502269745, 5.412992000579834, 3.5178003311157227, 5.487007141113281, 2.8089206693948654e-07]	[13.517766952514648, 3.879453659057617, 15.292793273925781, 2.751906394958496, 10.012643814086914, 1.9491806030273438, 7.4552154541015625, 14.063732147216797, 2.990571975708008, 11.116531372070312, 10.75637435913086, 7.592477798461914, 6.5630693435668945, 2.0295143127441406, 6.705618858337402, 16.184925079345703, 15.35649585723877, 3.1651458740234375, 10.136985778808594, -0.0]	Kimberley 's electrician is investigating a few delighted grandsons of and Douglas is investigating a lot clever . <eos>	[4.993169784545898, 5.509343147277832, 7.0584797859191895, 3.431243896484375, 5.932219505310059, 4.085031986236572, 6.7559099197387695, 6.390507698059082, 6.47695779800415, 3.1064867973327637, 4.827873229980469, 6.941736221313477, 4.411324977874756, 6.012518405914307, 4.0495452880859375, 6.6901164054870605, 0.5478523969650269, 5.4155144691467285, 2.86035231056303e-07]	[13.516610145568848, 3.881174087524414, 15.290631294250488, 2.7522058486938477, 9.999166488647461, 1.947648048400879, 7.455628395080566, 13.194206237792969, 14.04999828338623, 2.0163135528564453, 10.912996292114258, 10.667354583740234, 8.213668823242188, 6.236937522888184, 2.3054542541503906, 7.005770683288574, 16.235214233398438, 2.748178482055664, -0.0]
Those actresses ' best friend examines four podiatrists and Mark examines five serious podiatrists . <eos>	[4.99677038192749, 5.716567039489746, 4.184042930603027, 6.603515148162842, 4.638089179992676, 4.25239372253418, 3.5062780380249023, 5.741346836090088, 5.962357044219971, 6.063506126403809, 5.868485450744629, 4.138651371002197, 6.115643501281738, 5.217157363891602, 5.364840507507324, 2.9180876026657643e-07]	[7.468327522277832, 11.628410339355469, 6.023436546325684, 6.863165378570557, 4.2907819747924805, 13.225279808044434, 8.486187934875488, 3.5087461471557617, 2.970827102661133, 9.998382568359375, 11.675891876220703, 8.06474494934082, 7.987208366394043, 3.179018974304199, 2.6490612030029297, -0.0]	Those actresses ' best friend examines four happy podiatrists and Mark examines five serious . <eos>	[4.99393367767334, 5.724615097045898, 4.184172630310059, 6.603923320770264, 4.63874626159668, 4.253124713897705, 3.5059545040130615, 5.741285800933838, 4.6363019943237305, 4.854832172393799, 6.308220386505127, 5.686100006103516, 4.0179290771484375, 5.991828441619873, 5.396143436431885, 3.005869757544133e-07]	[7.469362258911133, 11.630671501159668, 6.017331123352051, 6.864608287811279, 4.290628433227539, 13.22475814819336, 8.488407135009766, 10.597545623779297, 4.445905685424805, 2.3181419372558594, 9.25987720489502, 10.90479850769043, 8.40652084350586, 8.28288459777832, 8.001676559448242, -0.0]
Theodore had referenced a few ladies and some hospitals had referenced a lot lucky ladies . <eos>	[4.998612403869629, 4.105267524719238, 5.177167892456055, 4.371994972229004, 6.78286075592041, 5.763641357421875, 3.692917823791504, 4.913182258605957, 4.3797173500061035, 3.504850149154663, 5.461037635803223, 4.233592510223389, 6.862890243530273, 1.185441493988037, 3.9863460063934326, 3.3869881629943848, 2.75557198392562e-07]	[10.46170711517334, 5.237964630126953, 13.111162185668945, 3.2796850204467773, 4.839855194091797, 10.578689575195312, 2.5996646881103516, 5.657944679260254, 13.920473098754883, 7.028890609741211, 11.99020767211914, 3.9282894134521484, 5.899202346801758, 14.92274284362793, 11.000540733337402, 1.9375629425048828, -0.0]	Theodore had referenced a few popular ladies and some hospitals had referenced a lot lucky . <eos>	[4.991849422454834, 4.101912498474121, 5.178130626678467, 4.373134136199951, 6.783649444580078, 5.764017105102539, 6.130805969238281, 3.4577577114105225, 5.500073432922363, 4.635746002197266, 3.417679786682129, 5.507667541503906, 4.297080993652344, 6.804183006286621, 0.9106040596961975, 4.088964462280273, 2.813749517827091e-07]	[10.45309829711914, 5.237494468688965, 13.110302925109863, 3.2808542251586914, 4.840398788452148, 7.069420337677002, 10.167150497436523, 2.3240880966186523, 5.797647476196289, 12.850489616394043, 7.11705207824707, 12.22908878326416, 3.99808406829834, 6.114810943603516, 15.147934913635254, 2.310093879699707, -0.0]
Aaron is n't approaching one girlfriend and some men 's electricians were approaching a few concealed girlfriend . <eos>	[4.99371862411499, 5.813480854034424, 5.376026153564453, 5.742840766906738, 4.349192142486572, 3.801694393157959, 3.1585116386413574, 5.482515335083008, 5.756186008453369, 5.090641021728516, 6.968814849853516, 5.335424423217773, 6.438643932342529, 3.9867584705352783, 7.128093719482422, 4.785676002502441, 6.47987699508667, 4.45731258392334, 2.816145467932074e-07]	[10.414642333984375, 3.630025863647461, 6.529484748840332, 11.079469680786133, 5.742814064025879, 11.587129592895508, 2.5298213958740234, 6.6400251388549805, 6.242645263671875, 5.209686279296875, 3.3153371810913086, 4.738690376281738, 8.918195724487305, 3.49722957611084, 5.702617645263672, 12.73107624053955, 10.144523620605469, 1.551253318786621, -0.0]	Aaron is n't approaching one old girlfriend and some men 's electricians were approaching a few concealed . <eos>	[4.992090225219727, 5.815392017364502, 5.3780083656311035, 5.742335796356201, 4.348361015319824, 3.8014369010925293, 4.5091352462768555, 3.1894564628601074, 5.581649303436279, 5.967662811279297, 5.099885940551758, 7.004279613494873, 5.344572067260742, 6.618660926818848, 4.059024810791016, 7.162230014801025, 4.924520492553711, 6.428012847900391, 3.0409535156650236e-07]	[10.4127836227417, 3.627918243408203, 6.5260772705078125, 11.07864761352539, 5.743721961975098, 8.760528564453125, 5.932774543762207, 2.696223258972168, 6.905697822570801, 5.5203351974487305, 5.264820098876953, 3.1550111770629883, 4.7979278564453125, 8.763933181762695, 3.3778133392333984, 5.931262016296387, 12.456357955932617, 5.525530815124512, -0.0]
Barbara is n't messing up one library and Kristen is n't messing up two yellow library . <eos>	[4.99513578414917, 6.055938720703125, 5.746981143951416, 5.5237932205200195, 3.7790961265563965, 3.2197299003601074, 4.081531524658203, 3.8276164531707764, 5.311771392822266, 3.7647173404693604, 5.732008457183838, 5.536022186279297, 3.3131392002105713, 3.0909976959228516, 3.432638168334961, 5.745107173919678, 5.5777716636657715, 2.859029564206139e-07]	[10.27602481842041, 2.7967071533203125, 6.13231086730957, 4.711128234863281, 5.571826934814453, 8.225805282592773, 13.256673812866211, 2.6943559646606445, 12.407282829284668, 0.9488525390625, 4.413012504577637, 4.596667289733887, 5.325944900512695, 10.30477237701416, 10.079397201538086, 14.277448654174805, 4.709362030029297, -0.0]	Barbara is n't messing up one bad library and Kristen is n't messing up two yellow . <eos>	[4.9909820556640625, 6.054671764373779, 5.743809700012207, 5.524625778198242, 3.7796409130096436, 3.2202723026275635, 4.081241607666016, 4.591821193695068, 4.032094478607178, 5.5400285720825195, 4.072988986968994, 5.938765048980713, 5.651284694671631, 3.455018997192383, 3.1549885272979736, 3.4821271896362305, 5.764626502990723, 2.9238506726869673e-07]	[10.274993896484375, 2.7947731018066406, 6.131806373596191, 4.710833549499512, 5.570140838623047, 8.224770545959473, 8.207965850830078, 12.327561378479004, 2.745574951171875, 12.151620864868164, 1.1665534973144531, 3.9666595458984375, 4.4839324951171875, 5.124546051025391, 10.279173851013184, 9.797897338867188, 4.249881744384766, -0.0]
Fish were n't worrying many piano teachers and some hospitals were n't worrying few hidden piano teachers . <eos>	[4.989802360534668, 5.980192184448242, 5.994980812072754, 5.6435065269470215, 1.7827324867248535, 4.325615882873535, 5.015129089355469, 3.6948602199554443, 5.795720100402832, 5.436861991882324, 4.568426132202148, 6.332286834716797, 5.543123245239258, 0.9553365111351013, 4.775815010070801, 6.51478385925293, 4.6291656494140625, 3.2826530933380127, 2.7977330319117755e-07]	[9.736568450927734, 4.741860389709473, 8.508831024169922, 12.319927215576172, 7.038585662841797, 15.453071594238281, 3.8414878845214844, 2.261669158935547, 4.617298126220703, 10.227474212646484, 1.9991769790649414, 4.516678810119629, 7.859803199768066, 11.993219375610352, 13.823152542114258, 12.222108840942383, 5.193603515625, 1.0390682220458984, -0.0]	Fish were n't worrying many determined piano teachers and some hospitals were n't worrying few hidden . <eos>	[4.991635799407959, 5.98370361328125, 5.995840072631836, 5.644480228424072, 1.782374620437622, 4.327942371368408, 5.935333728790283, 5.84183406829834, 3.420255184173584, 5.824646472930908, 5.531155586242676, 4.449547290802002, 6.296713829040527, 5.590480804443359, 0.8802607655525208, 4.782660007476807, 6.4565887451171875, 2.8249212391529e-07]	[9.725408554077148, 4.74067497253418, 8.507012367248535, 12.319873809814453, 7.037334442138672, 12.170364379882812, 14.744367599487305, 5.533867835998535, 2.070455551147461, 4.705223083496094, 10.738375663757324, 1.8421945571899414, 5.082718849182129, 8.419891357421875, 11.803466796875, 13.801416397094727, 4.779284477233887, -0.0]
This actress 's students exit few movie theaters and these doctors exit many hard movie theaters . <eos>	[4.992176532745361, 6.1413421630859375, 4.290087699890137, 6.429678916931152, 5.126720428466797, 3.1294922828674316, 5.618945121765137, 3.024172067642212, 3.6426010131835938, 6.221908092498779, 6.578214645385742, 4.7001543045043945, 3.8471341133117676, 5.284499168395996, 5.1966328620910645, 3.4232232570648193, 3.435185432434082, 2.693939791242883e-07]	[3.593252182006836, 12.154326438903809, 3.283108711242676, 10.96950626373291, 10.665245056152344, 12.631574630737305, 9.136122703552246, 1.038259506225586, 2.0327491760253906, 7.894616603851318, 10.419914245605469, 11.014790534973145, 6.490157127380371, 10.55029010772705, 6.278529167175293, 0.9107780456542969, 1.4978599548339844, -0.0]	This actress 's students exit few hidden movie theaters and these doctors exit many hard . <eos>	[4.988505840301514, 6.140810012817383, 4.289752006530762, 6.429445266723633, 5.126421928405762, 3.1285765171051025, 5.619606971740723, 6.100030899047852, 4.618179798126221, 3.5658273696899414, 6.382846832275391, 6.792543411254883, 4.850420951843262, 3.756298303604126, 5.259891510009766, 5.504831790924072, 2.9576671067843563e-07]	[3.5924367904663086, 12.155328750610352, 3.2888669967651367, 10.970484733581543, 10.663596153259277, 12.633374214172363, 12.700243949890137, 8.966102600097656, 2.436915397644043, 2.0341110229492188, 7.45445442199707, 10.367340087890625, 10.8183012008667, 6.675137519836426, 10.46351432800293, 7.034111022949219, -0.0]
